dataset_name,seed,anomalies_fraction,normalies_ratio,comtaination_ratio,roc_auc,roc_pr
multi_har,1,0.1,0,0,0.987700334,0.966601448
multi_har,1,0.1,0,0.02,0.988133287,0.971217596
multi_har,1,0.1,0,0.04,0.987052923,0.965691789
multi_har,1,0.1,0,0.06,0.983590453,0.961962764
multi_har,1,0.1,0,0.08,0.9770633,0.938604607
multi_har,1,0.1,0,0.1,0.986977978,0.965269771
multi_har,20,0.1,0,0,0.993491295,0.98406967
multi_har,20,0.1,0,0.02,0.980871671,0.950942743
multi_har,20,0.1,0,0.04,0.991524271,0.978001964
multi_har,20,0.1,0,0.06,0.985995619,0.966080788
multi_har,20,0.1,0,0.08,0.839902571,0.566053846
multi_har,20,0.1,0,0.1,0.985400669,0.964417062
multi_har,42,0.1,0,0,0.989154272,0.971691298
multi_har,42,0.1,0,0.02,0.9855373,0.963543834
multi_har,42,0.1,0,0.04,0.909471348,0.758017073
multi_har,42,0.1,0,0.06,0.970122795,0.930635083
multi_har,42,0.1,0,0.08,0.980675084,0.957130295
multi_har,42,0.1,0,0.1,0.978612937,0.937073453
multi_har,50,0.1,0,0,0.988616396,0.973598561
multi_har,50,0.1,0,0.02,0.90770437,0.803673388
multi_har,50,0.1,0,0.04,0.987845036,0.970441156
multi_har,50,0.1,0,0.06,0.98797302,0.968321988
multi_har,50,0.1,0,0.08,0.984803413,0.965835884
multi_har,50,0.1,0,0.1,0.974411968,0.945700251
multi_har,99,0.1,0,0,0.992602329,0.981361361
multi_har,99,0.1,0,0.02,0.992927476,0.980270637
multi_har,99,0.1,0,0.04,0.87734175,0.662209706
multi_har,99,0.1,0,0.06,0.978853338,0.945604594
multi_har,99,0.1,0,0.08,0.980915485,0.951567307
multi_har,99,0.1,0,0.1,0.979004381,0.945431986
multi_har,101,0.1,0,0,0.986497175,0.96525086
multi_har,101,0.1,0,0.02,0.988540297,0.972733137
multi_har,101,0.1,0,0.04,0.986418771,0.962944976
multi_har,101,0.1,0,0.06,0.977571774,0.942231472
multi_har,101,0.1,0,0.08,0.984140436,0.964555128
multi_har,101,0.1,0,0.1,0.968013951,0.917785361
multi_har,135,0.1,0,0,0.987275453,0.956443018
multi_har,135,0.1,0,0.02,0.985484838,0.959207601
multi_har,135,0.1,0,0.04,0.984138706,0.96393492
multi_har,135,0.1,0,0.06,0.968841231,0.927550524
multi_har,135,0.1,0,0.08,0.971285599,0.926169758
multi_har,135,0.1,0,0.1,0.972890003,0.932672192
multi_har,145,0.1,0,0,0.981688574,0.95035312
multi_har,145,0.1,0,0.02,0.974693878,0.947234982
multi_har,145,0.1,0,0.04,0.977270841,0.946171069
multi_har,145,0.1,0,0.06,0.976437219,0.939213459
multi_har,145,0.1,0,0.08,0.910290557,0.766749846
multi_har,145,0.1,0,0.1,0.960179869,0.914516179
multi_har,165,0.1,0,0,0.985804796,0.969124433
multi_har,165,0.1,0,0.02,0.988492448,0.973826761
multi_har,165,0.1,0,0.04,0.98980226,0.975391039
multi_har,165,0.1,0,0.06,0.978818748,0.939108264
multi_har,165,0.1,0,0.08,0.98420731,0.9634097
multi_har,165,0.1,0,0.1,0.959043007,0.902785598
multi_har,200,0.1,0,0,0.984213075,0.963322119
multi_har,200,0.1,0,0.02,0.986998155,0.965822859
multi_har,200,0.1,0,0.04,0.977940159,0.949127051
multi_har,200,0.1,0,0.06,0.967380376,0.922712857
multi_har,200,0.1,0,0.08,0.978073331,0.950198101
multi_har,200,0.1,0,0.1,0.966300588,0.921612888
